a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
1	3	SRR5423294	SRR5423296	12656523	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000006	-15672020.967792	58	-15672026.163990	0.994007	5.105827e-01,1.649285e-01,1.962181e-02,1.538619e-01,9.071157e-02,1.461418e-02,2.359240e-02,1.784024e-02,4.246612e-03	0.476391	0.229964	0.008041	-18625382.665567	6
1	4	SRR5423294	SRR5423297	12658748	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000012	0.000004	0.000004	0.000004	0.000004	0.000000	0.000004	0.000004	0.000008	0.000004	-15692687.163509	79	-15692698.200007	0.994182	5.111300e-01,1.637064e-01,2.029558e-02,1.545274e-01,8.970895e-02,1.493112e-02,2.380964e-02,1.760238e-02,4.288475e-03	0.491648	0.227185	0.002826	-18645211.392572	6
1	5	SRR5423294	SRR5423298	12657280	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	-15710614.007928	46	-15710614.455217	0.994067	5.114692e-01,1.624946e-01,2.117598e-02,1.543942e-01,8.982681e-02,1.496255e-02,2.405436e-02,1.731462e-02,4.307706e-03	0.503528	0.227758	-0.001199	-18658172.609472	6
1	6	SRR5423294	SRR5423299	12650785	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	-15679861.974158	78	-15679865.547767	0.993556	5.103133e-01,1.643950e-01,2.044406e-02,1.539320e-01,9.038059e-02,1.485028e-02,2.368101e-02,1.760814e-02,4.395636e-03	0.488214	0.228863	0.004008	-18643979.885554	7
1	7	SRR5423294	SRR5423300	12660501	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000011	0.000001	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	0.000005	-15701850.927939	74	-15701857.178470	0.994320	5.099928e-01,1.652837e-01,1.981550e-02,1.536432e-01,9.086025e-02,1.469959e-02,2.383553e-02,1.763955e-02,4.229865e-03	0.480419	0.230074	0.006676	-18650960.366265	6
1	8	SRR5423294	SRR5423301	12654818	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000018	0.000001	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000010	0.000009	-15682233.339461	74	-15682242.508112	0.993873	5.104349e-01,1.649715e-01,1.975328e-02,1.538094e-01,9.065553e-02,1.470668e-02,2.367575e-02,1.766052e-02,4.332493e-03	0.479055	0.229754	0.007132	-18629828.360229	6
1	9	SRR5423294	SRR5423302	12652979	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000005	-15782069.064447	66	-15782072.732497	0.993729	5.113705e-01,1.611267e-01,2.266282e-02,1.551168e-01,8.821360e-02,1.583997e-02,2.412578e-02,1.699478e-02,4.549131e-03	0.530401	0.222837	-0.010207	-18707422.483128	6
2	3	SRR5423295	SRR5423296	12649071	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000002	0.000002	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	0.000000	-15547930.571833	42	-15547939.895915	0.993422	5.078107e-01,1.621698e-01,1.885981e-02,1.611859e-01,9.563423e-02,1.570630e-02,1.900753e-02,1.571792e-02,3.907719e-03	0.395960	0.243563	0.036443	-18513885.312950	6
2	4	SRR5423295	SRR5423297	12651958	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000000	-15570524.510353	50	-15570526.805489	0.993649	5.084944e-01,1.608742e-01,1.945165e-02,1.619320e-01,9.454122e-02,1.604489e-02,1.899710e-02,1.565474e-02,4.009763e-03	0.406688	0.240591	0.032458	-18533120.571182	6
2	5	SRR5423295	SRR5423298	12649741	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000003	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000002	-0.000001	-15586803.866590	38	-15586807.454804	0.993475	5.078162e-01,1.606579e-01,2.036670e-02,1.628875e-01,9.350580e-02,1.613278e-02,1.922031e-02,1.547547e-02,3.937296e-03	0.423364	0.236879	0.026434	-18553111.312344	6
2	6	SRR5423295	SRR5423299	12642881	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000000	-15555289.423307	54	-15555291.665510	0.992936	5.076855e-01,1.614753e-01,1.968152e-02,1.613301e-01,9.518238e-02,1.598723e-02,1.892883e-02,1.570310e-02,4.026000e-03	0.405646	0.242129	0.032966	-18531264.215862	6
2	7	SRR5423295	SRR5423300	12652875	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000002	0.000002	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000003	0.000000	-15577455.813722	42	-15577461.089496	0.993721	5.070134e-01,1.626876e-01,1.910639e-02,1.613963e-01,9.547636e-02,1.567423e-02,1.905294e-02,1.563561e-02,3.957125e-03	0.399673	0.242601	0.035065	-18539920.787811	6
2	8	SRR5423295	SRR5423301	12648119	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000004	0.000000	-15560389.403430	54	-15560396.705472	0.993347	5.070145e-01,1.627873e-01,1.904706e-02,1.619827e-01,9.480874e-02,1.573392e-02,1.891005e-02,1.570623e-02,4.009528e-03	0.400355	0.240529	0.034616	-18524926.321509	6
