a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
1	4	s11	s17	13019370	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	-16108873.872170	46	-16108876.707939	0.994662	4.962252e-01,1.745475e-01,1.872849e-02,1.587974e-01,9.937513e-02,1.528781e-02,1.832831e-02,1.493951e-02,3.770587e-03	0.372898	0.248048	0.044924	-19189502.339253	6
1	5	s11	s4	13019000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000001	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-16053379.760298	82	-16053389.307839	0.994634	4.982784e-01,1.730683e-01,1.814557e-02,1.583727e-01,9.998333e-02,1.512088e-02,1.817672e-02,1.508943e-02,3.764730e-03	0.363283	0.251231	0.048679	-19142494.264020	6
1	6	s11	s5	13017470	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	0.000000	-16032615.829292	54	-16032625.559861	0.994517	4.984118e-01,1.722075e-01,1.887223e-02,1.589700e-01,9.937658e-02,1.513104e-02,1.829467e-02,1.494295e-02,3.793320e-03	0.374001	0.249428	0.044719	-19156601.493757	6
1	7	s11	s6	13017302	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000002	0.000000	-16067266.091736	62	-16067270.624702	0.994504	4.967494e-01,1.745007e-01,1.825070e-02,1.585387e-01,9.987601e-02,1.506685e-02,1.832462e-02,1.500181e-02,3.691255e-03	0.366207	0.249888	0.047481	-19160321.800426	6
1	8	s11	s8	13017859	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000002	0.000002	0.000005	0.000002	0.000002	0.000000	0.000002	0.000002	0.000008	-0.000000	-15945753.991500	63	-15945765.094665	0.994546	5.135941e-01,1.578321e-01,1.807670e-02,1.583844e-01,9.990236e-02,1.518808e-02,1.798573e-02,1.517184e-02,3.864632e-03	0.360977	0.261088	0.050839	-18914069.003897	6
1	9	s11	s9	13018012	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000004	-0.000000	-15937613.548073	58	-15937618.761218	0.994558	5.132018e-01,1.578902e-01,1.839319e-02,1.579764e-01,1.002243e-01,1.530098e-02,1.808428e-02,1.510344e-02,3.825413e-03	0.363958	0.261854	0.049878	-18932539.476030	6
2	3	s12	s16	13016246	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000003	0.000000	-15948394.905864	54	-15948401.274759	0.994423	5.118015e-01,1.584274e-01,1.828025e-02,1.589734e-01,1.002763e-01,1.513638e-02,1.819732e-02,1.509507e-02,3.812434e-03	0.363771	0.261061	0.049839	-18946556.034484	6
2	4	s12	s17	13018638	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000003	0.000002	0.000002	0.000001	0.000001	0.000001	0.000000	0.000002	0.000005	-0.000000	-16127573.070430	74	-16127581.267549	0.994606	4.955275e-01,1.744140e-01,1.858086e-02,1.596443e-01,9.942403e-02,1.529192e-02,1.819229e-02,1.501973e-02,3.905420e-03	0.369862	0.247852	0.045946	-19200323.263777	6
2	5	s12	s4	13018332	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000003	0.000000	-16071459.518601	50	-16071466.072950	0.994582	4.973819e-01,1.730011e-01,1.814199e-02,1.591849e-01,1.000516e-01,1.513415e-02,1.826298e-02,1.509634e-02,3.745118e-03	0.363862	0.250868	0.048428	-19156830.279362	6
2	6	s12	s5	13016682	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000004	0.000000	-16051687.540775	46	-16051694.480972	0.994456	4.976079e-01,1.720822e-01,1.883063e-02,1.597640e-01,9.941086e-02,1.518837e-02,1.831498e-02,1.502690e-02,3.774106e-03	0.373657	0.249021	0.044786	-19170940.354623	6
2	7	s12	s6	13016770	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000002	0.000000	-16085448.983156	38	-16085453.534465	0.994463	4.966048e-01,1.738469e-01,1.806818e-02,1.587622e-01,1.004771e-01,1.512457e-02,1.825062e-02,1.505410e-02,3.811527e-03	0.361463	0.251755	0.049383	-19167102.686051	6
2	8	s12	s8	13017289	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000001	0.000001	0.000004	0.000001	0.000001	0.000000	0.000001	0.000001	0.000007	-0.000000	-15964107.535554	50	-15964116.652169	0.994503	5.119107e-01,1.583564e-01,1.825837e-02,1.597885e-01,9.950381e-02,1.507223e-02,1.824526e-02,1.507958e-02,3.785142e-03	0.366857	0.258586	0.048413	-18938175.402970	6
2	9	s12	s9	13017376	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000004	-0.000000	-15956326.546755	50	-15956332.228616	0.994509	5.119344e-01,1.580795e-01,1.847420e-02,1.591920e-01,9.996207e-02,1.524636e-02,1.813855e-02,1.517819e-02,3.794618e-03	0.366266	0.260109	0.048823	-18951983.121736	6
3	4	s16	s17	13018023	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000003	0.000000	-16105719.128726	50	-16105724.270237	0.994559	4.963938e-01,1.739977e-01,1.858406e-02,1.585864e-01,9.977479e-02,1.540780e-02,1.836912e-02,1.509171e-02,3.794677e-03	0.370366	0.249414	0.045977	-19194374.280953	6
3	5	s16	s4	13017456	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000002	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000003	0.000000	-16049813.879017	46	-16049819.971669	0.994516	4.977049e-01,1.731162e-01,1.816187e-02,1.587389e-01,9.997285e-02,1.506457e-02,1.839952e-02,1.503538e-02,3.805839e-03	0.365713	0.250863	0.047784	-19153941.098710	6
